gate_index,gate_name,num_qubits,fidelity
0,u,1,2.2961749194938404e-16
1,u,1,1.4788291601428171e-15
2,u,1,2.114387797481348e-15
3,u,1,1.3543819507979945e-12
4,u,1,1.0695146860832622e-12
5,cx,2,1.1392507214823016e-12
6,u,1,2.240257305808729e-12
7,u,1,1.0426042121769148e-11
8,cx,2,1.145516211863067e-11
9,u,1,5.709678447337945e-12
10,u,1,1.4776558704490343e-12
11,cx,2,1.1682776969090193e-12
12,u,1,2.1918607953037903e-12
13,u,1,5.0301657976088056e-12
14,u,1,8.77609226802709e-12
15,cx,2,1.5979225379050447e-11
16,u,1,1.612038505342833e-11
17,u,1,1.0083490934957009e-10
18,cx,2,1.044600648929381e-10
19,u,1,1.30288241256304e-10
20,u,1,8.563787762516909e-11
21,cx,2,9.371937847558691e-11
22,u,1,8.786964850999259e-11
23,cx,2,1.1297043607770653e-10
24,u,1,4.4809109195871375e-10
25,u,1,4.476707406586623e-10
26,cx,2,3.770480741228542e-10
27,u,1,3.358044030893464e-10
28,u,1,2.1748927048257117e-10
29,cx,2,1.8448922271680781e-10
30,u,1,1.452185300182658e-14
31,u,1,2.7209156243416817e-12
32,u,1,5.617151753826869e-12
33,u,1,4.675618225742484e-06
34,cx,2,3.298099194382729e-06
35,u,1,1.5634597744559148e-06
36,u,1,7.898553072578376e-06
37,cx,2,7.20122840240796e-08
38,u,1,7.90909369061623e-06
39,u,1,1.5792587898275625e-05
40,cx,2,1.437738472719367e-07
41,u,1,7.372334714281209e-06
42,u,1,6.995224720172718e-06
43,cx,2,6.994628681784549e-06
44,u,1,8.873659698636614e-06
45,u,1,9.352207056025028e-06
46,cx,2,6.5841546895225285e-06
47,u,1,9.35220705602503e-06
48,u,1,4.675618225742499e-06
49,cx,2,3.2980991943827272e-06
50,u,1,7.591905525181629e-07
51,u,1,7.898553072578388e-06
52,cx,2,7.201228402408123e-08
53,u,1,3.297768143457469e-06
54,u,1,3.2908708260372965e-06
55,cx,2,4.682756395766892e-06
56,u,1,7.856149083106497e-06
57,u,1,7.133037459012266e-08
58,cx,2,7.883504624774669e-06
59,u,1,7.17618995333064e-08
60,u,1,1.4377384727193583e-07
61,cx,2,1.579258789827566e-05
62,u,1,8.564027031266378e-06
63,u,1,7.92659636361025e-06
64,cx,2,7.926596363610218e-06
65,u,1,6.09470483954101e-06
66,u,1,6.584154689522538e-06
67,cx,2,9.35220705602504e-06
68,u,1,1.4377384727193625e-07
69,u,1,3.362854493387695e-13
70,cx,2,3.3628544933819066e-13
71,u,1,3.5205464458004403e-12
72,u,1,1.7288993216092922e-07
73,cx,2,1.7329943599647453e-07
74,u,1,2.1943331650923905e-07
75,u,1,5.617151753829705e-12
76,cx,2,5.61715175383686e-12
77,u,1,3.3628544933765034e-13
78,u,1,1.4377384727193665e-07
79,cx,2,1.5792587898275638e-05
80,u,1,8.56402703126638e-06
81,u,1,6.122389810613952e-06
82,cx,2,6.122389810613969e-06
83,u,1,4.708047191393262e-06
84,u,1,6.584154689522569e-06
85,cx,2,9.35220705602503e-06
86,u,1,9.352207056023505e-06
87,u,1,4.675618225741728e-06
88,cx,2,3.2980991943834997e-06
89,u,1,3.2499595612413814e-07
